Date, Real Date, Net Count, Capture, Aggressive Capture
Fold 1
03/17/15, ,-118.0, -0.5410735932888358, -0.48045839850783484
12/29/14, ,-103.0, -0.3307930146227171, -0.2969668293878603
01/06/15, ,-102.0, -0.3069253004181245, -0.27309911505641465
03/13/15, ,-117.0, -0.5329654851807277, -0.47235029039967813
12/03/14, ,-102.0, -0.2143913231126315, -0.1841626748862047
02/24/15, ,-113.0, -0.4132460010167755, -0.35290895680006446
07/24/14, ,-13.0, -0.11927624299351051, -0.10892871389029155
08/20/14, ,-40.0, -0.294016310404522, -0.2797893313320453
02/13/15, ,-107.0, -0.3869489928989097, -0.33696123716861526
09/24/14, ,-71.0, -0.4994656231031103, -0.4680579653700398
08/18/14, ,-36.0, -0.28529875237401975, -0.2710717545467323
12/19/14, ,-104.0, -0.23967880747589596, -0.20737122439343952
09/17/14, ,-69.0, -0.4555133954115757, -0.4187718250231984
01/21/15, ,-104.0, -0.36509822495983324, -0.3334127612193397
09/10/14, ,-60.0, -0.35747258984362856, -0.34235567180162396
11/06/14, ,-94.0, -0.30110322513004095, -0.30014561399326767
08/05/14, ,-25.0, -0.12413113172026963, -0.10574790505885619
08/06/14, ,-25.0, -0.11786332545246339, -0.09948009879104995
07/22/14, ,-12.0, -0.10596064990699003, -0.09546196320645502
09/30/14, ,-71.0, -0.4806090005978749, -0.4648923482304933
02/26/15, ,-114.0, -0.4109196401476687, -0.3502748332502243
10/23/14, ,-73.0, -0.23894938259203116, -0.22983327942732976
03/19/15, ,-121.0, -0.6025549743512952, -0.5419821794449045
01/12/15, ,-101.0, -0.27588935233434997, -0.2442033723949543
11/12/14, ,-95.0, -0.20211193428242727, -0.168739351202997
12/12/14, ,-103.0, -0.2491067920071521, -0.21679920892476506
01/16/15, ,-104.0, -0.3672948202371533, -0.3356101676364499
02/27/15, ,-114.0, -0.42588231786197506, -0.3650777236434399
12/17/14, ,-104.0, -0.24295749600048605, -0.210649912918099
07/23/14, ,-13.0, -0.11649846521573269, -0.1061509050768956
11/04/14, ,-96.0, -0.3906289927948012, -0.39060214111495106
03/05/15, ,-117.0, -0.4360004402639267, -0.37519584733991446
08/27/14, ,-51.0, -0.3692682900060193, -0.35714259636535856
09/22/14, ,-69.0, -0.4536543066704063, -0.4212707562551428
08/11/14, ,-26.0, -0.10844308182542008, -0.09179537944931394
12/15/14, ,-103.0, -0.24295749600048605, -0.210649912918099
09/26/14, ,-71.0, -0.48138126635567935, -0.4657773280483929
10/28/14, ,-76.0, -0.2541911196874758, -0.2518605791021818
08/29/14, ,-55.0, -0.40543289615411876, -0.3934911631805291
09/29/14, ,-72.0, -0.4853989784902846, -0.4697231515617152
08/12/14, ,-26.0, -0.12529250899399605, -0.10864480838112629
11/03/14, ,-95.0, -0.39013565288360225, -0.3901021044418102
09/04/14, ,-56.0, -0.36721824485372273, -0.35686337140123736
09/02/14, ,-56.0, -0.40178282030485296, -0.39169888623563104
07/21/14, ,-13.0, -0.11460262521563204, -0.10413724395875437
10/02/14, ,-68.0, -0.4581591878191429, -0.4423067990026002
11/28/14, ,-99.0, -0.2186632271743214, -0.19022276414921388
08/22/14, ,-45.0, -0.2953666206036468, -0.28119558599180383
08/01/14, ,-22.0, -0.10593720233317094, -0.09624962235348909
02/10/15, ,-109.0, -0.40879372603902325, -0.3588035293765347
01/09/15, ,-102.0, -0.3282851856676834, -0.29703079446414293
07/10/14, ,1.0, 0.005314437555358769, 0.005336950875471081
11/18/14, ,-97.0, -0.2054079066791042, -0.171998896433935
07/25/14, ,-17.0, -0.14018319785844124, -0.13093120088385654
11/11/14, ,-98.0, -0.22815111024899243, -0.2079493073167041
12/04/14, ,-103.0, -0.22922183158720785, -0.20418156196409382
03/23/15, ,-122.0, -0.6349331924092907, -0.5792820664479268
02/06/15, ,-108.0, -0.40574680343085745, -0.3618504519847005
09/11/14, ,-61.0, -0.3692066332068475, -0.35323008511540416
07/30/14, ,-22.0, -0.1257882535737702, -0.11633905621774111
02/03/15, ,-107.0, -0.4032544310314859, -0.3709522782791312
10/15/14, ,-67.0, -0.2961005274129068, -0.284848925480342
10/10/14, ,-70.0, -0.3153779107253239, -0.2971834326793738
01/30/15, ,-106.0, -0.37427592342462757, -0.34197377067227286
09/19/14, ,-72.0, -0.46636158839362035, -0.43440319867425636
03/10/15, ,-115.0, -0.40756628358392144, -0.3467489971629926
08/14/14, ,-33.0, -0.285505204963519, -0.27113401406709475
01/13/15, ,-102.0, -0.32041585103113546, -0.28873119828448524
01/28/15, ,-105.0, -0.4010934298123291, -0.3695560108169986
10/17/14, ,-69.0, -0.2923126904594269, -0.27981840398430596
02/04/15, ,-106.0, -0.3965183624460601, -0.3642082178964549
